lake	sample	date_col	julian	year	bag	bag_leaf	days	cruc_num	cruc_empty	cruc_full	cruc_ash	leaf_mass	leaf_mass_AFDM	ash_mass_AFDM	propOM	AFDM
Daulton Pond	30		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Daulton Pond	37		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Daulton Pond	40		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Daulton Pond	41		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Daulton Pond	46		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Daulton Pond	48		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Daulton Pond	50		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Daulton Pond	51		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Daulton Pond	52		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Daulton Pond	55		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Daulton Pond	56		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Daulton Pond	59	2014/02/05	36	2014	7.1053	9.6865	106	NA	NA	NA	NA	2.5812	NA	NA	NA	NA
Daulton Pond	60	2014/02/05	36	2014	7.1038	9.7069	106	NA	NA	NA	NA	2.6031	NA	NA	NA	NA
Daulton Pond	62		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Daulton Pond	67		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Daulton Pond	68		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Daulton Pond	69		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Daulton Pond	70		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Lancer Park Pond	46	1931/10/29	302	2013	7.1874	11.427	0	5	30.3736	34.4472	30.7159	4.2396	4.0736	0.342300000000002	0.915971131186174	3.88335120777690
Lancer Park Pond	33	2013/10/29	302	2013	7.1922	11.5806	0	5	30.3758	34.6937	30.7022	4.3884	4.3179	0.326400000000000	0.924407698186619	4.05667074272216
